date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:42	129985/129985	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:51:41%20GMT	http://ecaidev.stagingrelease.com/ecai	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai.html	(from )
12:21:42	24/24	---M--	200	added ('OK')	text/plain	etag:%225cd92fd8-18%22	http://ecaidev.stagingrelease.com/robots.txt		(from )
12:21:42	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225cd92400-47e%22	http://ecaidev.stagingrelease.com/storage/img/favicon_icon/1557734400favicon.ico	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/storage/img/favicon_icon/1557734400favicon.ico	(from http://ecaidev.stagingrelease.com/ecai)
12:21:43	24861/24861	---M--	200	added ('OK')	text/css	etag:%225d418453-611d%22	http://ecaidev.stagingrelease.com/css/lightgallery.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/lightgallery.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:44	13018/13018	---M-Z	200	added ('OK')	text/css	etag:%221544639645%22	http://netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	C:/My%20Web%20Sites/ProjectEaci/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:44	146526/146526	---M--	200	added ('OK')	text/css	etag:%225d418a73-23c5e%22	http://ecaidev.stagingrelease.com/css/frontend/dashboard/bootstrap.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/dashboard/bootstrap.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:44	2912/2912	---M--	200	added ('OK')	text/css	etag:%225d418a6b-b60%22	http://ecaidev.stagingrelease.com/css/frontend/tinymce.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/tinymce.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:45	35997/35997	---M--	200	added ('OK')	text/css	etag:%225d418a1c-8c9d%22	http://ecaidev.stagingrelease.com/css/jquery-ui.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/jquery-ui.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:48	129985/129985	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:51:46%20GMT	http://ecaidev.stagingrelease.com/ecai/	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/index.html	(from http://ecaidev.stagingrelease.com/ecai)
12:21:48	158546/158546	---M--	200	added ('OK')	text/css	etag:%225d418a52-26b52%22	http://ecaidev.stagingrelease.com/css/frontend/bootstrap.min.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/bootstrap.min.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:50	112699/112699	---M--	200	added ('OK')	text/css	etag:%225d418a57-1b83b%22	http://ecaidev.stagingrelease.com/css/frontend/font-icons.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/font-icons.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:52	116411/116411	---M--	200	added ('OK')	text/css	etag:%225da83d40-1c6bb%22	http://ecaidev.stagingrelease.com/css/frontend/header_icon.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/header_icon.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:54	33208/33208	---M--	200	added ('OK')	text/css	etag:%225d418a64-81b8%22	http://ecaidev.stagingrelease.com/css/frontend/plugins.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/plugins.css	(from http://ecaidev.stagingrelease.com/ecai)
12:21:55	1289/1289	---M--	200	added ('OK')	text/css	etag:%225d8b1f73-509%22	http://ecaidev.stagingrelease.com/css/frontend/style.css	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/css/frontend/style.css	(from http://ecaidev.stagingrelease.com/ecai)
